SKU,Product Name,Category,Price,Facebook Product Link
SC-GRM-004,Facial Cleansing Brush,Personal Care & Grooming,450,https://sparkcartmall.netlify.app/?product=SC-GRM-004
SC-GRM-005,Nose & Detail Trimmer,Personal Care & Grooming,590,https://sparkcartmall.netlify.app/?product=SC-GRM-005
SC-WFC-001,Trendy Women Handbag,Women Fashion & Cosmetics,1190,https://sparkcartmall.netlify.app/?product=SC-WFC-001
SC-WFC-002,Skincare Combo Set,Women Fashion & Cosmetics,1390,https://sparkcartmall.netlify.app/?product=SC-WFC-002
SC-WFC-003,Matte Lipstick Set,Women Fashion & Cosmetics,490,https://sparkcartmall.netlify.app/?product=SC-WFC-003
SC-WFC-004,Jewelry Organizer Box,Women Fashion & Cosmetics,650,https://sparkcartmall.netlify.app/?product=SC-WFC-004
SC-WFC-005,Makeup Brush Set,Women Fashion & Cosmetics,790,https://sparkcartmall.netlify.app/?product=SC-WFC-005
SC-MEN-001,Premium Leather Wallet,Men Fashion & Lifestyle,950,https://sparkcartmall.netlify.app/?product=SC-MEN-001
SC-MEN-002,Classic Leather Belt,Men Fashion & Lifestyle,690,https://sparkcartmall.netlify.app/?product=SC-MEN-002
SC-MEN-003,Classic UV Sunglasses,Men Fashion & Lifestyle,890,https://sparkcartmall.netlify.app/?product=SC-MEN-003
SC-MEN-004,Men Polo T-Shirt,Men Fashion & Lifestyle,790,https://sparkcartmall.netlify.app/?product=SC-MEN-004
SC-MEN-005,Casual Analog Watch,Men Fashion & Lifestyle,1190,https://sparkcartmall.netlify.app/?product=SC-MEN-005
SC-LGT-001,Motion Sensor Night Light,Smart Home & Lighting,750,https://sparkcartmall.netlify.app/?product=SC-LGT-001
SC-LGT-002,RGB LED Strip Light 5m,Smart Home & Lighting,890,https://sparkcartmall.netlify.app/?product=SC-LGT-002
SC-LGT-003,Sunset Projection Lamp,Smart Home & Lighting,690,https://sparkcartmall.netlify.app/?product=SC-LGT-003
SC-LGT-004,Rechargeable Desk Lamp,Smart Home & Lighting,950,https://sparkcartmall.netlify.app/?product=SC-LGT-004
SC-LGT-005,USB LED Night Lamp,Smart Home & Lighting,590,https://sparkcartmall.netlify.app/?product=SC-LGT-005
SC-GAM-001,RGB Gaming Mouse,Computer & Gaming Accessories,650,https://sparkcartmall.netlify.app/?product=SC-GAM-001
SC-GAM-002,Mechanical Gaming Keyboard,Computer & Gaming Accessories,2190,https://sparkcartmall.netlify.app/?product=SC-GAM-002
SC-GAM-003,Large RGB Gaming Mousepad,Computer & Gaming Accessories,790,https://sparkcartmall.netlify.app/?product=SC-GAM-003
SC-GAM-004,Headphone Stand,Computer & Gaming Accessories,550,https://sparkcartmall.netlify.app/?product=SC-GAM-004
SC-GAM-005,Laptop Cooling Pad,Computer & Gaming Accessories,990,https://sparkcartmall.netlify.app/?product=SC-GAM-005
SC-AUTO-001,Bike Mobile Holder,Car & Bike Accessories,390,https://sparkcartmall.netlify.app/?product=SC-AUTO-001
SC-AUTO-002,Helmet Bluetooth Intercom,Car & Bike Accessories,1890,https://sparkcartmall.netlify.app/?product=SC-AUTO-002
SC-AUTO-003,Car Cleaning Duster,Car & Bike Accessories,290,https://sparkcartmall.netlify.app/?product=SC-AUTO-003
SC-AUTO-004,Anti-Glare Side Mirror Pair,Car & Bike Accessories,450,https://sparkcartmall.netlify.app/?product=SC-AUTO-004
SC-AUTO-005,Car/Bike Mini Air Pump,Car & Bike Accessories,1150,https://sparkcartmall.netlify.app/?product=SC-AUTO-005
SC-KID-001,Educational Learning Toy Set,Kids & Baby Products,690,https://sparkcartmall.netlify.app/?product=SC-KID-001
SC-KID-002,LCD Writing Tablet 8.5-inch,Kids & Baby Products,490,https://sparkcartmall.netlify.app/?product=SC-KID-002
SC-KID-003,Baby Care Kit,Kids & Baby Products,890,https://sparkcartmall.netlify.app/?product=SC-KID-003
SC-KID-004,Smart Learning Board Book Set,Kids & Baby Products,1190,https://sparkcartmall.netlify.app/?product=SC-KID-004
SC-KID-005,Kids Musical Activity Toy,Kids & Baby Products,650,https://sparkcartmall.netlify.app/?product=SC-KID-005
